roll_no,name,Father_name,Mother_name,dob,gender,email,phone,address,school_name_10th,school_name_12th,marks_10th,marks_12th
22312105,Shravya Bora,Gautam Mital,Anvi Sampath,2000-06-16,Male,buchneha@gmail.com,4053496316,"057
Nagar Nagar
Darbhanga 006087","H.No. 18, Baral Chowk, Aizawl-235703","47/115, Nori Road, Durgapur-138223",94,72
22312106,Meghana Dar,Naveen Saraf,Aishani Saha,2001-03-12,Female,hemalgrewal@gmail.com,2308704922,"H.No. 92, Sarma Path, Raipur-593608","976, Chaudhari Marg, Nangloi Jat 876901","H.No. 24, Shanker
Yamunanagar-040897",69,92
22312107,Utkarsh Sinha,Zashil Saxena,Raksha Agarwal,2003-01-05,Male,chaturakhosla@gmail.com,5523664944,"03
Goda Circle
Jodhpur-233426","686
Aggarwal Chowk
Ludhiana 477632","H.No. 64
Sarma Chowk
Maheshtala-959904",79,86
22312108,Frado Hari,Wyatt Narang,Chameli Shukla,2000-07-17,Male,yashshere@gmail.com,8904279883,"11/72, Pandey Nagar
Shimoga-786446","62/255
Chauhan Zila
Khora -727432","H.No. 26, Kari Chowk
Rohtak 357845",63,90
22312109,Zaitra Koshy,Ayaan Pathak,Eiravati Buch,1999-09-15,Female,tarak55@gmail.com,9460726652,"H.No. 833
Narain Road, Gwalior 267467","H.No. 540
Bose Road
Deoghar 450722","21, Seth Circle, Ludhiana 808779",90,84
22312110,Kashvi Bose,Qabil Halder,Isha Suri,2004-07-16,Female,kai73@gmail.com,8206952862,"61
Dhaliwal Street, Guntur 624448","H.No. 556
Shenoy Nagar
Asansol-260480","04, Sundaram Ganj, Pimpri-Chinchwad-061136",78,81
22312111,Xavier Salvi,Nicholas Kale,Jyoti Luthra,1999-11-24,Male,saneriya@gmail.com,8078175968,"39/74
Mander Circle, Ozhukarai-100499","H.No. 22, Srinivasan Chowk
Thoothukudi 475296","19/86, Aurora Nagar, Korba-636791",72,80
22312112,Varenya Shankar,Jagdish Basu,Chandani Venkatesh,2002-12-07,Female,chaudhryreva@gmail.com,4734949471,"965
Gopal Circle
Unnao-333024","772
Bajwa Circle
Delhi 184787","13/557
Comar Ganj, Shimla-704461",69,91
22312113,Dalaja Mandal,Parth Gopal,Sanya Acharya,2002-07-12,Male,rattabaghyawati@gmail.com,5174491113,"42/359
Chadha Circle, Fatehpur-320146","H.No. 674
Amble Street
Burhanpur-013960","98/95
Shetty Road
Hindupur 317978",86,78
22312114,Aarna Datta,Mitesh Khanna,Nisha Prabhu,2003-06-17,Male,tripti00@gmail.com,2008160598,"02/450
Gera Marg
Narasaraopet 832094","H.No. 94
Mohanty Nagar
Silchar-971971","97
Chad Zila, Maheshtala-235043",62,89
22312115,Onveer Om,Samar Chhabra,Udyati Batta,2002-05-02,Female,devanhredhaan@gmail.com,2139511754,"H.No. 772
Setty Path
Nashik-866588","H.No. 860
Deep Chowk
Haridwar 653571","47/493
Natarajan Path, Vadodara 603570",75,81
22312116,Girindra Varghese,Raghav Rau,Gaurangi Malhotra,2003-10-03,Female,bhanumati45@gmail.com,7709068644,"H.No. 70
Jaggi Road, Ghaziabad-943142","07, Tank Marg
Nizamabad 634695","894, Sama Ganj, Chinsurah 436120",75,96
22312117,Darsh Datta,Tanveer Bhatti,Krisha Krishnamurthy,2001-09-17,Female,ansh20@gmail.com,8307184772,"H.No. 69
Grover Circle, Korba-057216","46, Pandya Chowk
Jalandhar-446268","H.No. 928
Som Ganj, Proddatur-269885",95,74
22312118,Gayathri Dani,Hardik Madan,Leela Luthra,2001-10-13,Female,fiyaz85@gmail.com,7068387660,"H.No. 42, Bajwa Street
Loni-656270","H.No. 56, Shah Circle, Kharagpur-033219","607
Mistry Zila, Gangtok-846096",96,97
22312119,Kritika Vig,Luke Dua,Ria Sathe,2004-06-17,Male,tailorneha@gmail.com,7501363213,"H.No. 305, Mitter Ganj, Bathinda-849661","250
Mishra Path, Sambhal 902217","47
Balay Zila, Danapur 776832",61,92
22312120,Nikita Lalla,Veer Bose,Irya Borah,2003-02-19,Male,keyaanne@gmail.com,2820775071,"H.No. 580
Thakkar Road
Bikaner-337684","818
Bhagat Nagar, Varanasi-915585","18/366
Gandhi Zila, Maheshtala-034692",87,86
22312121,Ganga Iyer,Rohan Sharma,Nandini Comar,2003-06-25,Female,pmenon@gmail.com,2848992861,"11/791, Magar Ganj
Hosur-237311","51/625, Vohra Chowk
Medininagar 877288","H.No. 64
Rana Chowk
Raurkela Industrial Township 902834",96,92
22312122,Farhan Chander,Dominic Nayar,Xalak Chacko,2004-11-01,Male,pallavibatra@gmail.com,6959825874,"86/88
Jhaveri Street
Agartala-754308","H.No. 443
Bal Road, Darbhanga 667989","66/143
Basu Nagar
Bhind 035511",83,74
22312123,Udarsh Trivedi,Fitan Vora,Indali Ganesh,2004-09-04,Male,anushabuch@gmail.com,6538438526,"82/884, Dass Nagar, Rajkot-427477","H.No. 894
Dua Circle, Firozabad-691441","86/215
Raghavan Ganj
Bulandshahr-615984",83,79
22312124,Dakshesh Apte,Henry Warrior,Tamanna Borra,2002-07-14,Male,fariqmallick@gmail.com,3940348012,"16
Salvi Zila, Indore 301683","H.No. 443, Rama
Ballia 999003","177, Anand Path, Guna-824445",79,71
22312125,Maanas Deep,Udant Shan,Niharika Karpe,2003-10-28,Male,hparmer@gmail.com,3874353397,"15/685
Parmer Street, Amritsar 824706","57/733, Solanki Path, Sambhal-989989","65
Chopra Zila
Berhampur 338191",74,84
22312126,Dalbir Choudhary,Gabriel Kibe,Yachana Kara,2004-04-14,Female,anirudh77@gmail.com,7879426107,"06/954
Amble Marg
Junagadh 650441","H.No. 485, Hora Ganj, Bangalore-638012","97/16
Raj Chowk
Jamshedpur 788197",69,68
22312127,Triveni Ranganathan,Michael Dass,Ekta Mander,1999-11-23,Male,aachal97@gmail.com,3029322004,"59
Sanghvi Circle, Solapur 675043","H.No. 913
Korpal Nagar
Bhilai-289150","H.No. 43, Nigam Marg
Shimla 710281",63,62
22312128,Gaurika Saran,Ryan Anand,Rajeshri Chada,2002-09-14,Female,ozachakradhar@gmail.com,6794237831,"26
Bains Chowk, Mehsana 462665","H.No. 17
Shetty, Navi Mumbai 940436","H.No. 482
Mukherjee Path
Hazaribagh 593188",74,60
22312129,Lopa Shere,Zehaan Gandhi,Tanmayi Shetty,2004-03-25,Female,chandgaurav@gmail.com,8049168678,"H.No. 15
Thaker Ganj, Shahjahanpur-377742","H.No. 38
Chawla Marg
Asansol-327395","42/256, Raval Street, Madurai-017723",74,62
22312130,Harsh Verma,Maanav Merchant,Jagvi Chada,2000-01-28,Female,nagylavanya@gmail.com,9679622214,"13/960, Ahluwalia Street, Alappuzha 934868","54/488
Pal Path
Gandhinagar 300766","00, Barad Road, Tiruppur-857294",62,89
22312131,Mason Gokhale,Udant Singhal,Vyanjana Patil,2002-10-23,Female,indiranagarajan@gmail.com,3574144598,"96, Bakshi Path, Durgapur 422353","55/072
Sankar Nagar
Thoothukudi 702196","H.No. 119, Batra Zila
Patna 550212",68,86
22312132,Ryan Pau,Omkaar Purohit,Ekani Halder,2003-11-06,Male,kohliekbal@gmail.com,8698248405,"78/955, Salvi Street, Dehradun-445566","H.No. 142, Merchant Nagar
Muzaffarpur-763048","58
Tailor Zila
Panchkula-067336",62,84
22312133,Abhiram Halder,Harrison Sha,Nidra Khalsa,2004-12-23,Male,samesh84@gmail.com,1629710382,"988
Sachdeva Road, Ozhukarai-887789","00/85, Chandra
Raichur-664419","81/344, Vohra Chowk
Muzaffarnagar 647601",69,78
22312134,Diya Sule,Rachit Wadhwa,Charvi Bhalla,2005-03-05,Male,hemangini01@gmail.com,8618485076,"040, Krish Ganj, Agartala 860128","06/37
Prakash Marg
Proddatur 654009","92/836, Bassi
Narasaraopet 346537",61,72
22312135,Idika Parmer,Gavin Jha,Nikita Prashad,2003-08-25,Female,psethi@gmail.com,1123896097,"27
Nigam Circle, Karnal 430123","480
Ramanathan Road
Bhiwani 634812","69/94, Keer Chowk, Saharsa-417421",77,62
22312136,Yachana Agate,Aadi Mall,Radha Balakrishnan,2003-02-21,Female,aradhana00@gmail.com,3688969634,"H.No. 165
Ravel Nagar
Kanpur 545525","H.No. 87, Chopra Path, Bareilly-841240","60/813, Pau Nagar, Sangli-Miraj & Kupwad 362445",84,85
22312137,Leena Butala,Abhiram Kannan,Ekta Singh,2003-10-12,Female,parmarkrishna@gmail.com,4291069735,"H.No. 602, Dhillon Chowk
Kochi 488382","79
Sampath Street
Chandigarh 441577","00, Arya Street
Tirunelveli-443759",83,76
22312138,Isaiah Bhandari,Tanish Purohit,Vasudha Bhandari,2004-02-04,Female,balhaar06@gmail.com,6014248709,"H.No. 963
Choudhary Road
Thanjavur 966898","80, Khare Marg
Dindigul 832124","21, Naik Nagar, Saharanpur 051190",97,82
22312139,Sai Dutt,Peter Gara,Ekanta Thakur,2000-04-03,Female,kotachristopher@gmail.com,6960909582,"51, Sandhu Circle, Khora  630296","542
Sarkar Road, Bihar Sharif-342903","12/472, Devan Ganj, Mango-594652",94,85
22312140,Nisha Kari,Orinder Nadkarni,Sanaya Som,2000-12-11,Male,wbhagat@gmail.com,6049410838,"H.No. 50
Gaba Nagar, Tumkur-966442","111, Khatri Nagar
Arrah 202050","61/66, Solanki, Suryapet 276283",94,91
22312141,Dalbir Sagar,Arjun Apte,Charvi Dugar,2003-10-24,Male,dasnikita@gmail.com,1562957564,"64/97, Modi Nagar, Chennai 487438","78/49, Ramaswamy Zila
Ongole 871751","07
Kaur Zila, Rampur-463793",84,92
22312142,Naveen Mangat,Warinder Das,Libni Dash,2004-05-13,Female,hardikbail@gmail.com,5014178550,"H.No. 784
Bhardwaj Nagar
Tiruchirappalli-867816","330
Edwin Zila, Bareilly-638867","219
Khalsa Zila
Secunderabad-801758",86,87
22312143,Qadim Sarin,Samar Bali,Ekta Purohit,2002-10-24,Female,quincykapoor@gmail.com,3215358061,"73/709
Sabharwal Ganj, Imphal-868758","26, Tara Road
Sambalpur 534975","42/055, Apte Zila
Ambala 751028",80,67
22312144,Jairaj Chahal,Ayush Viswanathan,Vansha Arora,2005-04-22,Female,teerth70@gmail.com,5976570100,"74/636, Banerjee Nagar, Kollam-597071","65, Dhillon Marg
Katni 516228","633, Sarkar Chowk, Raipur 019537",96,75
22312145,Irya Choudhary,Anthony Nanda,Hamsini Kant,2002-04-24,Female,agastya58@gmail.com,1053604249,"77/37
Chakraborty Chowk, Raurkela Industrial Township-300544","H.No. 40
Baria Chowk, Jabalpur-244116","H.No. 67
Nazareth Circle
South Dumdum 165389",82,63
22312146,Shivansh Guha,Ekansh Saha,Krisha Sachar,2003-01-20,Male,jeevikamangal@gmail.com,7283721063,"92/209, Handa
Hubli�Dharwad 815351","10, Bhardwaj Marg, Karaikudi 146943","063, Baral Zila, Rampur-209877",94,83
22312147,Ekaraj Lad,Ethan Kara,Lila Khurana,2002-11-20,Male,wbath@gmail.com,7157069702,"32/80
Deep Zila
Jhansi-666141","18/499, Keer Zila
Ambattur-401676","H.No. 77, Chana Ganj, Bathinda 260819",73,86
22312148,Bhavani Ghose,David Handa,Bina Mitra,2003-07-14,Female,vedhika17@gmail.com,2865972393,"H.No. 097, Kala Circle, Eluru 469154","75/36, Modi Zila, Raebareli 550123","H.No. 07, Ramaswamy Road
Sultan Pur Majra 406994",91,63
22312149,Elijah Kohli,Aarnav Yogi,Divya Mander,2002-12-22,Male,cbanerjee@gmail.com,2878382180,"H.No. 90
Mangal Zila
Karnal-028766","H.No. 57, Narasimhan Ganj, Asansol-679751","H.No. 86, Hari Ganj
Satara-054027",78,65
22312150,Wriddhish Goel,Aarush Gera,Ria Basu,2005-05-28,Male,aatwal@gmail.com,8210938126,"H.No. 523
Nath Road
Delhi-513808","H.No. 075, Kapadia Circle
Bhagalpur-422861","99
Chowdhury Path, Dewas 083839",79,66
22313001,Yatan Ganguly,Jonathan Sarma,Keya Kara,2004-03-14,Male,csankar@gmail.com,8390721838,"H.No. 192, Bhasin Marg, Hospet-551175","48/074
Khanna Street
Dharmavaram 009030","48/729
Varughese Road
Panipat 740091",71,71
22313002,Veer Chaudhuri,Fitan Oommen,Mekhala Warrior,2004-08-19,Female,benmeghana@gmail.com,9821439132,"46/58, Johal Road
Rourkela 080465","H.No. 353
Das, Kota 965523","037, Butala Circle, Agra 582375",88,88
22313003,Lopa Ratti,Udarsh Sama,Nisha Kanda,2001-03-15,Female,prishasunder@gmail.com,1496011849,"61, Butala Nagar, Bahraich-636435","334, Bath Circle, Rohtak-864070","61/20
Agarwal Zila, Bhatpara 716620",77,60
22313004,Nirja Kadakia,Sarthak Gill,Ladli Issac,2002-09-14,Female,vedasankaran@gmail.com,9032689069,"H.No. 144
Grover Zila, Malegaon-348212","55/245
Parikh Nagar, Pimpri-Chinchwad-480687","048, Luthra Circle
Kalyan-Dombivli 458616",93,85
22313005,Eshana Issac,Gaurang Kota,Yasti Sarma,2002-06-25,Female,yachana68@gmail.com,2906176083,"H.No. 18, Viswanathan Path, Satna 405620","352, Raghavan Chowk, Kanpur 691904","H.No. 31
Agarwal Chowk
Kadapa 880016",63,64
22313006,Banjeet Hegde,Zehaan Raval,Chakrika Hora,2000-12-06,Male,salvidominic@gmail.com,8018545433,"422
Vora Circle, Mathura 595286","27/71
Garg Street, Shahjahanpur 181882","10, Mutti Zila, Haldia-353199",96,68
22313007,Kritika Mohan,Fariq Kashyap,Lila Biswas,2002-10-01,Male,masonmaster@gmail.com,9839406405,"H.No. 67, Dube Nagar
Raipur-268160","879, Nagi Chowk
Mumbai-801000","H.No. 03
Bhattacharyya Path, Shahjahanpur 640834",86,82
22313008,Aashi Mody,Pratyush Jayaraman,Januja Jha,2003-03-28,Male,nisha94@gmail.com,7423060017,"94/401
Kuruvilla Nagar
Anantapur-251395","28, Sant Path, Mehsana-862822","H.No. 616, Mann Road
Guntur 240372",94,92
22313009,Yauvani Koshy,Akshay Verma,Charvi Bal,2002-11-05,Male,iroy@gmail.com,7549633938,"293
Dyal Chowk
Chennai 510178","440
Kari Circle
Karawal Nagar 715610","67/727
Mane Circle, Pune 835332",78,97
22313010,Alexander Bakshi,Balendra Kadakia,Ekta Sunder,2003-11-08,Male,vchand@gmail.com,4163466950,"96, Wali Marg
Gaya 259284","40, Bali Ganj
Sagar 804156","71
Lala
Tadipatri-851136",70,94
22313011,Hitesh Maharaj,Charan Dhingra,Zaitra Mitter,2002-08-28,Female,nidhi37@gmail.com,3538187917,"H.No. 801
Sura Nagar, Secunderabad 634790","96
Bhagat
Shahjahanpur-189009","03/135, Agarwal
Rajpur Sonarpur 006678",65,87
22313012,Mohammed Sarma,Ethan Chad,Mugdha Ramaswamy,1999-07-30,Female,wapte@gmail.com,4692025123,"H.No. 97, Varty
Udupi-426191","H.No. 25
Baral Road
Bongaigaon 295521","34/49, Ravi Ganj, Bikaner 768852",61,88
22313013,Ekavir Kala,Pranav Deo,Radha Kala,2002-06-24,Female,fredericktalwar@gmail.com,3108596553,"88/048
Mand Marg
Shahjahanpur-639527","85, Nazareth Road, Gudivada-997086","H.No. 21
Sridhar Street
Jehanabad 428494",82,71
22313014,Jeremiah Tella,Charan Dayal,Upasna Anne,2003-03-02,Female,yatan18@gmail.com,1607341957,"838, Kakar Zila
Kharagpur-984718","98/08, Rajagopalan Road
Serampore-172215","H.No. 22, Mishra Marg
Bally 407865",86,88
22313015,Victor Srinivas,Theodore Kapoor,Urmi Koshy,2000-05-18,Female,eramakrishnan@gmail.com,4356806401,"70/942, Prasad Circle
Surendranagar Dudhrej-394528","98/94, Nagar Road, Madhyamgram 800871","26
Dugar Road, Hyderabad 605581",78,92
22313016,Ekani Khalsa,Ekbal Yadav,Yashodhara Bhatia,2000-03-12,Female,paucharan@gmail.com,6845111334,"H.No. 19, Modi Path
Deoghar-618781","03, Banerjee Ganj
Kakinada-064380","14/09
Dutt Marg, Anand 149761",79,86
22313017,Eesha Babu,Kabir Char,Harita Choudhury,2000-05-05,Female,ekavir67@gmail.com,2620922413,"33/65, Kapoor Nagar, Machilipatnam 432481","H.No. 22
Dhillon Marg, Kharagpur-313190","74/099
Shetty Road, Moradabad 503438",96,61
22313018,Anika Amble,Advay Pant,Riya Shetty,2003-06-24,Male,prana@gmail.com,4610753988,"05/25
Ramachandran Road, Bihar Sharif-615722","H.No. 595
Toor Nagar
Panipat 479909","H.No. 676
Mand Path, Kalyan-Dombivli-206394",70,90
22313019,Chameli Kant,Kabir Chakrabarti,Bhavini Hans,2003-08-25,Female,radhakrishnanjack@gmail.com,1622167624,"42/589, Nadig Zila
Darbhanga-562508","17/44
Wagle
Jodhpur 637597","50, Ramesh Path, Jalna-097296",64,80
22313020,Ekantika Kaur,Vedant Tara,Anya Comar,2005-02-16,Female,orana@gmail.com,8363115908,"95, Krish Chowk, Bhiwani-515422","67, Parikh Path, Panipat 495614","50/60
Batta Chowk, Thane-082918",85,80
22313021,Tanmayi Jayaraman,Matthew Sachdev,Falguni Manne,2002-08-09,Female,yashbasak@gmail.com,5238709824,"46/27, Sodhi Marg, Nanded 746011","H.No. 796, Dani Nagar, Madhyamgram-780403","26, Patel Road
Kanpur 844159",94,91
22313022,Dhruv Pandya,Yuvraj Mistry,Sneha Pal,2002-08-04,Male,aapte@gmail.com,5100141284,"46/242
Mohanty Ganj
Fatehpur-397894","60/05
Shroff Ganj, Miryalaguda-940093","H.No. 11
Hegde Road, Bidar-937430",73,72
22313023,Vansha Padmanabhan,Girish Bhargava,Rachita Trivedi,2004-09-14,Female,abeer42@gmail.com,6300345768,"860
Chad Circle, Sri Ganganagar-682193","53/69, Borah Ganj, Firozabad-492055","80/89
Bhargava Chowk, Bhiwani 963203",86,79
22313024,Shivani Ahluwalia,Ayushman Bahri,Maya Rai,2003-10-25,Male,pkoshy@gmail.com,3567982948,"H.No. 95, Mandal Path
Cuttack 232161","H.No. 60
Bassi Path, New Delhi 953070","95/523
Radhakrishnan Zila
Gwalior 657244",95,84
22313025,Saumya Agate,Jagdish Raman,Reva Ahluwalia,2002-02-12,Male,oviyakibe@gmail.com,3808698416,"34
Sehgal Zila
Sambhal-734088","H.No. 24
Ramanathan Chowk
Secunderabad 024918","63/669
Ramanathan Road, Thoothukudi-143875",94,70
22313026,Wyatt Dalal,Gabriel Shankar,Chasmum Tiwari,1999-08-25,Female,faqid02@gmail.com,3482787617,"H.No. 90, Taneja Chowk, Kakinada 379108","779
Banik Circle
Ahmedabad 529635","H.No. 87, Raman Street
Surendranagar Dudhrej 027571",94,71
22313027,Oscar Sandhu,Lohit Sen,Chaaya Butala,2004-07-13,Female,matthewtrivedi@gmail.com,9440246745,"197
Chatterjee Circle
Sirsa-986820","H.No. 83
Banerjee Marg
Bidhannagar 471986","287
Peri Circle
Bettiah 957634",77,82
22313028,Frederick Mittal,Champak Babu,Tanmayi Aggarwal,2002-10-15,Female,kashvi72@gmail.com,7211906838,"H.No. 297
Mangat Nagar, Hapur-395623","00/75, Pall Street
Muzaffarnagar 585137","389
Panchal Street, Muzaffarnagar-043695",85,96
22313029,Zansi Das,Jeremiah Ben,Harita Varughese,2003-10-04,Female,advika24@gmail.com,5886149271,"73
Mani Path
Aurangabad-727018","41/94
Dey Road, Kozhikode-052885","H.No. 97, Kothari Street, North Dumdum 378711",80,68
22313030,Darika Mall,Jacob Lad,Chaaya Krishnan,2002-08-08,Female,baradsathvik@gmail.com,3248120582,"26/04
Goyal Ganj
Katihar-369937","H.No. 41, Hayre Marg, Serampore 244769","H.No. 99, Pal, Morbi-598598",76,65
22313031,Yashoda Venkataraman,Indrajit Rout,Saumya Sachdeva,2001-07-27,Female,bnayak@gmail.com,1511174226,"30/473
Buch Path
Vijayanagaram-721668","04/01, Palla Street
Bhatpara-403340","H.No. 850
Nagi Nagar
Begusarai-981020",81,74
22313032,William Kapoor,Manan More,Charita Tailor,2001-02-16,Female,yahvibedi@gmail.com,8025787063,"534, Dhar Path, Nizamabad-319490","H.No. 58
Kothari Zila, Ajmer 511206","09/276
Hari Marg
Muzaffarnagar-839259",80,80
22313033,Alexander Kapoor,Gavin Narula,Lipika Wadhwa,2001-02-26,Female,trivedipratyush@gmail.com,3790968457,"14/90
Oza Path, Nizamabad-837367","H.No. 89
Varghese Road
Chittoor-465438","H.No. 704, Ghosh Nagar, Morena 161422",78,74
22313034,Upkaar Menon,Karan Nadkarni,Yasti Nagy,2005-04-15,Female,wridesh56@gmail.com,5870617004,"56/49
Sharaf Marg
Purnia 618258","43/24
Samra Chowk, Ranchi-092140","317
Chhabra Marg
Rajpur Sonarpur 645131",88,88
22313035,Kavya Dora,Zashil Bhandari,Riya Wason,2002-01-14,Male,avisood@gmail.com,4343852194,"21/436, Gulati Chowk, Muzaffarnagar-075282","H.No. 134, Basak Ganj
Kalyan-Dombivli-744965","652, Ghose Circle
Bharatpur 186759",71,62
22313036,Dalbir Balakrishnan,Kevin Bava,Mahika Bhatti,2001-02-07,Male,rianarasimhan@gmail.com,2421589691,"789
Agarwal Circle
Ghaziabad-242732","599, Thaman Street
Karimnagar-828758","40/41
Karan Nagar, Gurgaon 057091",93,71
22313037,Harrison Sood,Thomas Mannan,Isha Mukhopadhyay,2004-01-25,Male,zayyanpai@gmail.com,3720528915,"61
Dasgupta Chowk
Malda-042541","958
Patla Ganj
Phagwara-901045","44/45
Nagi
Vadodara-004327",67,83
22313038,Kevin Boase,Kai Bhardwaj,Triveni Choudhry,2003-03-26,Male,prabhuhema@gmail.com,9647644157,"37/166, Varty Street, Surendranagar Dudhrej 411394","65
Rama Chowk, Sangli-Miraj & Kupwad-264071","H.No. 80, Ahluwalia Path, Anantapur 555685",70,72
22313039,Onkar Mannan,Maanav Malhotra,Shravya Bhardwaj,2005-02-13,Male,bhavani24@gmail.com,6511226754,"H.No. 449
Narula Chowk
Rajpur Sonarpur 556061","74/930
Padmanabhan Ganj
Vijayanagaram 890893","88, Bedi Street, Alappuzha-020930",75,71
22313040,Chameli Sami,Aarnav Date,Irya Sehgal,2001-03-24,Female,chopratejas@gmail.com,3111150176,"H.No. 303
Warrior, Vijayanagaram 264632","H.No. 468
Mutti Zila, Fatehpur 754142","H.No. 16, Borah Zila
Anand 122129",64,89
22313041,Wahab Sankar,Jack Sur,Meera Nagarajan,2000-02-22,Female,anamika88@gmail.com,8186183707,"H.No. 209, Lalla Zila
Ajmer-359327","67
Mody Marg
Bokaro 841135","H.No. 889
Kakar Nagar, Secunderabad 910717",61,83
22313042,Champak Bala,Liam Krishna,Vrishti Kar,2000-11-28,Female,mdutt@gmail.com,5009747340,"61/178, Das Path
Imphal 781951","889
Patla, Dehradun-598032","17
Thakkar Zila, Bathinda 630739",94,75
22313043,Anita More,Kabir Arora,Chakrika Sandal,2001-11-13,Female,sdani@gmail.com,9879122862,"045
Rao Chowk
Darbhanga 595653","H.No. 89
Srinivas Ganj
Kharagpur 224747","35/91
Chand Chowk
Surat 821739",85,95
22313044,Warda Varty,Utkarsh Shere,Shravya Kant,2002-05-19,Male,yashica46@gmail.com,5770173898,"25/059, Cherian
Ulhasnagar 008246","92/66
Walia Marg
Malegaon 350270","H.No. 99
Parmar Road, Ramgarh 234535",64,92
22313045,Yash Pall,Om Ratti,Waida Rastogi,1999-07-28,Female,ikbal47@gmail.com,6163076471,"H.No. 925
Nori, Jorhat 274655","48/940
Gandhi Street
Morbi-100539","70
Baral Ganj
Kharagpur 852386",74,80
22313046,Ayaan Sankaran,Zaid Doctor,Rajata Bhakta,2002-05-08,Male,chatterjeenachiket@gmail.com,8338931142,"60/712
Chana Chowk, Bhusawal 338027","71
Zachariah Road
Mumbai-363131","752, Cherian Road
Gangtok-702117",66,84
22313047,Ishwar Subramanian,Tanish Misra,Neha Uppal,1999-12-21,Female,kiaan17@gmail.com,918839068,"H.No. 584, Rama Zila, Bahraich-578368","40/39
Chad Marg
Munger 032402","H.No. 031
Wagle Road
Rourkela-229929",97,77
22313048,Dominic Narasimhan,Warinder Subramanian,Tripti Jhaveri,2005-01-21,Male,ishanvi35@gmail.com,8423524897,"H.No. 138, Virk Nagar
Gangtok-002139","H.No. 12
Ganguly Chowk, Purnia 996434","H.No. 282, Mody Marg, Hyderabad 621739",75,72
22313049,Abha Patla,Chatresh Ahluwalia,Tripti Vasa,2004-02-16,Female,hariyochana@gmail.com,1498617759,"52/28
Mody Circle
Jalna 509282","273
Chandra Circle
Chandrapur 987853","H.No. 80, Borde Zila
Danapur-108546",92,66
22313050,Eesha Deshmukh,Abeer Misra,Widisha Pandey,2001-12-12,Male,ydara@gmail.com,1985102576,"82, Chakraborty Street
Ajmer-963262","H.No. 947
Warrior Nagar
Katihar 980111","10, Dara Chowk, Nagaon 443411",80,68
22313051,Indrajit Srinivas,Charles Tandon,Zarna Buch,2003-01-02,Male,ohalder@gmail.com,885408868,"45/64
Goyal Path
Malegaon-742513","H.No. 339
Mishra Marg, Ghaziabad 689411","70/51, Deshpande Nagar, Warangal 779769",92,90
22313052,Darika Jhaveri,Hitesh Talwar,Waida Mann,2003-08-08,Male,manand@gmail.com,8518886830,"745
Chopra Street, Jabalpur-485737","59/12, Choudhary Marg
Nagpur-270494","487, Batra Circle
Buxar-439297",74,88
22313053,Ikbal Sekhon,Logan Wali,Tanvi Misra,2003-02-15,Male,kashishmand@gmail.com,5676108749,"H.No. 10
Bal Road
Kharagpur 211484","80/04
Bath Path, Madurai 976441","63
Chaudhry Road, Dharmavaram 351424",63,66
22313054,Gunbir Swamy,Jagat Tailor,Chavvi Thakkar,2002-03-13,Male,pthakkar@gmail.com,1708095733,"42/15, Banerjee Nagar, Panvel-753179","H.No. 99, Hans Circle, Burhanpur-023896","H.No. 354
Kata Road, Amroha 614314",90,79
22313055,Siya Kar,Abhimanyu Bhattacharyya,Ekta Borah,2000-10-26,Male,nakulbedi@gmail.com,7810218312,"99/58
Raja Ganj, Shivpuri-035329","H.No. 29, Dewan Zila, Mira-Bhayandar-309349","H.No. 75, Ghosh
Raebareli 445192",85,75
22313056,Praneel Kapur,Ojas Samra,Yashodhara Peri,2003-12-22,Female,gauri58@gmail.com,2488892298,"09/856, Mohanty Nagar
Bhimavaram-723902","00/113, Walla Marg, Jamnagar 737798","77, Roy Nagar, Surendranagar Dudhrej-854077",62,60
22313057,Mohammed Karpe,Jason Krishnan,Anusha Sarin,2002-07-25,Male,bhatupma@gmail.com,2814103932,"64, Balakrishnan Circle
Gandhinagar-901592","H.No. 51, Jaggi
Phagwara 184738","41, Karnik Road
Bulandshahr 289004",64,97
22313058,Noah Walla,Pratyush Saini,Chameli Lata,2003-12-25,Male,siddharthsaha@gmail.com,5970507975,"H.No. 98
Naidu
Bhind 432014","29/501
Seth Zila
Sasaram-124189","49/61
Din Marg
Amravati-524300",97,67
22313059,Shivansh Warrior,Alexander Sahni,Odika Gopal,2002-02-20,Male,agarwalriya@gmail.com,2434310645,"08/447, Prabhu Street, Rajpur Sonarpur 221350","83
Karpe Road
Panipat-097153","72/76
Varty Nagar
Kottayam-707307",90,75
22313060,Bachittar Savant,Chatresh Sampath,Indali Ratti,2002-12-15,Male,sbanerjee@gmail.com,1429486352,"02
Seshadri Circle, Nellore-997403","22/273
Golla Path
Tinsukia-946330","H.No. 59, Thakkar Chowk
Medininagar 156144",92,80
22313061,Azaan Swaminathan,Abhimanyu Grover,Bhavika Johal,2003-01-07,Female,nimratnatarajan@gmail.com,9497073438,"H.No. 847, Chauhan Street, Mahbubnagar 579861","04, Hora Chowk, Khammam-917957","H.No. 501, Sekhon Ganj, Muzaffarnagar 810048",93,95
22313062,Reyansh Kapur,Devansh Cheema,Shivani Bava,2005-01-01,Male,rjain@gmail.com,5216168675,"524, Anne Street
Jehanabad-731375","83/083, Krishnan Path
Rohtak-217519","H.No. 491
Kade Street, Bhalswa Jahangir Pur 735984",88,75
