staff_id,name,email,phone,address,dob,gender,staff_designation
ENG021,Bachittar Thaker,srivastavadipta@gmail.com,8468661684,"12/368, Borah Chowk
Suryapet-599278",1985-04-24,Male,Assistant Professor
ENG022,Bakhshi Ranganathan,yagneshparsa@gmail.com,7607886424,"H.No. 855
Anne Path
Bulandshahr 388470",1983-12-26,Male,Assistant Professor
ENG023,Ethan Jha,amara83@gmail.com,9271807836,"86, Pathak Marg
Kulti-017523",1981-05-09,Male,Lecturer
ENG024,Indira Dubey,ekajawagle@gmail.com,8594826833,"H.No. 89
Vala Path, Kadapa-553002",1987-06-22,Male,Professor
ENG025,Waida Shankar,ybarman@gmail.com,9537256305,"72/003
Dada Zila, Satna-920616",1986-04-30,Female,Lecturer
ENG026,Aarnav Gulati,vanshaedwin@gmail.com,8028487368,"H.No. 347, Bhasin Street, Giridih 775514",1984-03-22,Male,Assistant Professor
ENG027,Umang Setty,zansi05@gmail.com,7553467585,"702
Cherian Road, Rohtak 559664",1999-04-28,Male,Professor
ENG028,Aayush Boase,omyakannan@gmail.com,9279829947,"H.No. 175
Modi Ganj, Srinagar 166045",1982-02-24,Female,Professor
ENG029,Arin Dhaliwal,fariqsaraf@gmail.com,7150991352,"868, Ramanathan Nagar
Aurangabad-623026",1981-08-16,Female,Assistant Professor
ENG030,Laban Salvi,hredhaan13@gmail.com,7448740489,"25/101, Sathe Zila, Saharsa 807611",1978-06-30,Female,Lecturer
BAA001,Zaid Savant,udyatibahl@gmail.com,7948389437,"50/569
Nagar Street, Tiruvottiyur-762290",1979-05-09,Male,Lecturer
BAA002,Charvi Tank,xtandon@gmail.com,8044814951,"H.No. 08
Sawhney Chowk
Sasaram-016749",1975-03-20,Female,Professor
BAA003,Caleb Joshi,karnikojas@gmail.com,7520569752,"80/598
Mistry Street, Rohtak 899437",1979-03-28,Female,Assistant Professor
BAA004,Charles Chaudhari,reddyqadim@gmail.com,9340864794,"65/616, Merchant Marg, Orai 233676",1996-05-20,Female,Professor
BAA005,Rachit Wagle,saneyoshita@gmail.com,9469425127,"65/865, Agate Circle, Muzaffarpur-461217",1982-05-30,Male,Professor
BAA006,Madhav Sastry,dominicsunder@gmail.com,9212279489,"30/86
Om Zila
Allahabad 580560",1991-02-24,Male,Lecturer
BAA007,Samar Shankar,vanyaprakash@gmail.com,8849895154,"10
Prabhu Circle, Panvel-013709",1999-01-25,Female,Professor
BAA008,Raghav Shukla,mahalkrishna@gmail.com,9769887299,"H.No. 236, Shere Chowk, Raurkela Industrial Township-935578",1997-07-18,Male,Professor
BAA009,Warinder Tripathi,zkurian@gmail.com,8088424688,"537
Dhillon Road, Bettiah 151386",1997-07-18,Male,Professor
BAA010,Chavvi Pillai,akarnik@gmail.com,8086978627,"H.No. 677, Som Chowk
Raiganj 207726",1998-01-18,Male,Lecturer
BAA011,Warda Pingle,meghasule@gmail.com,9599013438,"H.No. 743
Dyal Ganj
Raurkela Industrial Township 162266",1975-02-07,Female,Assistant Professor
BAA012,Urmi Thaker,tailornisha@gmail.com,8798655402,"06
Ahluwalia Road, Bahraich-877275",1982-04-15,Female,Professor
BAA013,Vedhika Menon,rdoshi@gmail.com,7778036269,"700
Gara Chowk, Hindupur 688649",1975-05-22,Female,Assistant Professor
BAA014,Udyati Vig,dyalnathan@gmail.com,9873948000,"H.No. 70
Agate Chowk, Tenali-887035",1978-12-05,Male,Professor
BAA015,Gagan Gill,royekantika@gmail.com,9289541519,"27/66, Om Road
Jamnagar 042918",1990-09-11,Male,Lecturer
BAA016,Aditya Dhar,irama@gmail.com,7449061505,"55/30, Mahajan, Kurnool-480936",1990-10-28,Male,Lecturer
BAA017,Janya Batra,lekhahayer@gmail.com,8073291154,"03, Parekh Marg, Shimla 801080",1993-01-13,Male,Professor
BAA018,Andrew Dube,pmane@gmail.com,8679882861,"70, Prabhu Path, Suryapet 712270",1985-01-12,Male,Lecturer
BAA019,Chasmum Andra,galatheodore@gmail.com,8392661943,"H.No. 529
Magar Path
Tadipatri-955632",1985-06-05,Male,Assistant Professor
BAA020,Keya Aggarwal,gadebhavya@gmail.com,8613900022,"18/737, Mitter Nagar, Berhampur 653313",1999-12-16,Female,Lecturer
BAA021,Ranbir Shan,amaira37@gmail.com,7735130103,"29/62
Parmar Path
Bongaigaon 760341",1997-02-10,Female,Professor
BAA022,Gautami Atwal,yaminichacko@gmail.com,9637986037,"H.No. 499, Sood Chowk, Kanpur 878185",1990-12-03,Male,Professor
BAA023,Chaaya Dhingra,ekantamenon@gmail.com,8691268669,"H.No. 115, Mann Zila
Vellore 208566",1980-07-27,Male,Professor
BAA024,Udyati Aggarwal,nirja15@gmail.com,8327698527,"H.No. 61
Om Street
Giridih-951046",1991-05-26,Male,Assistant Professor
BAA025,Luke Comar,advaithgoel@gmail.com,7159765862,"H.No. 047, Goda Ganj, Morbi-940329",1995-11-19,Female,Assistant Professor
BAA026,Avi Pai,memonmegha@gmail.com,7517584433,"H.No. 117
Goyal Road, Vellore 247843",1998-02-11,Female,Assistant Professor
BAA027,Aditya Gole,ramaswamybhavani@gmail.com,9725855016,"H.No. 52
Pal Ganj
Ballia 184272",1991-06-18,Male,Professor
BAA028,Balhaar Hayer,waliakrisha@gmail.com,7573916942,"15/64, Bail Path
Purnia 438986",1993-04-18,Female,Assistant Professor
BAA029,Reva Subramanian,samesh99@gmail.com,9898960442,"H.No. 023, Puri Ganj, Ambattur-231605",1983-12-17,Female,Professor
BAA030,Ekaja Sen,priyagera@gmail.com,7777564106,"89/16, Bhat
Karaikudi 706130",1992-09-23,Male,Assistant Professor
